date,open,high,low,close,volume,ma5,ma10,ema12,ema26,MACD,DEA
2019-06-28,443.82438609,446.78169876,441.62535872,445.79592787,5521601,444.84048839199994,453.598683607,451.9861210117196,456.3645848403443,-4.378463828624717,-2.162551870036205
2019-07-01,448.9048976,468.39282981,439.57798841,464.90471743,14130675,447.14567570400004,454.303888936,453.97359738376275,456.9971872543929,-3.0235898706301327,-2.3347594701549905
2019-07-02,465.43551714,483.7860214,462.554033,480.67705167,16322400,454.95601429400006,455.024259971,458.08182112010695,458.7512512851786,-0.6694301650716739,-2.0016936091383273
2019-07-03,477.719739,483.33105022,459.14174915,461.71991917,15179443,459.338903328,454.220477553,458.64152851239817,458.9711526099802,-0.32962409758204103,-1.66727970682707
2019-07-04,465.8180373,465.969819,445.0239444,447.52834245,13352754,460.12519171800005,452.452508643,456.9318075797215,458.12353704257424,-1.1917294628527202,-1.5721696580322
2019-07-05,451.3987758,467.56352685,447.98368755,463.31363925,14044421,463.62873399399996,454.234611193,457.91362783668745,458.5079890579391,-0.5943612212516314,-1.3766079706760863
2019-07-08,470.52327,482.8175877,464.98323795,477.58111905,21445261,466.16401431800006,456.654845011,460.93939571565863,459.92081350179546,1.0185822138631693,-0.8975699337682352
2019-07-09,470.75094255,497.0850675,465.2109105,491.772708,22649418,468.383145584,461.6695799390001,465.68298222094194,462.2802130942551,3.4027691266868487,-0.03750212167721845
2019-07-10,490.93790865,506.4955329,484.183623,490.63434525,14565859,474.16603079999993,466.7524670639999,469.52165345618164,464.3805191798658,5.1411342763158245,0.9982251579213901
2019-07-11,493.1387433,500.50015575,484.3354047,494.5047786,11598080,483.56131803,471.843254874,473.3652111706152,466.61194580357943,6.7532653670357945,2.149233199744271
2019-07-12,496.0225956,499.9689198,484.56307725,495.03601455,10699986,489.90579309000003,476.767263542,476.6991809212898,468.7174323773884,7.9817485439014035,3.3157362685756975
2019-07-15,496.326159,530.3252598,491.772708,523.0397382,17696084,498.99751692000007,482.580765619,483.82849742570676,472.741306882767,11.087190542939766,4.870027123448511
2019-07-16,522.129048,529.49046045,516.05778,518.56217805,12424506,504.35541093,486.369278257,489.17214059867496,476.13544548774723,13.036695110927724,6.503360720944354
2019-07-17,522.81206565,561.51639915,516.8166885,532.67787615,29028294,512.76411711,493.4650739549999,495.86533068349416,480.32377368495116,15.541556998543001,8.310999976464084
2019-07-18,532.37431275,544.97219385,523.646865,534.95460165,15775620,520.85408172,502.20769987500006,501.8790646783412,484.3705016823622,17.50856299597899,10.150512580367065
2019-07-19,533.58856635,545.27575725,529.18689705,544.51684875,14079909,530.75024856,510.328020825,508.4387237662887,488.8257866503354,19.612937115953343,12.042997487484321
2019-07-22,541.93655985,557.038839,527.1378441,536.16885525,16229871,533.37607197,516.186794445,512.7048978407058,492.3326806206809,20.372217220024936,13.708841433992443
2019-07-23,531.23595,541.2535422,522.96384735,533.3608938,11767203,536.33581512,520.3456130249999,515.8827433729049,495.3718075228527,20.510935850052192,15.069260317204392
2019-07-24,533.5126755,540.342852,528.200316,536.62420035,10785617,537.12507996,524.9445985350001,519.0737367539964,498.4275403248636,20.64619642913277,16.184647539590067
2019-07-25,533.89212975,545.6552115,531.8430768,544.21328535,10619257,538.9768167,529.91544921,522.94135961492,501.81907699339223,21.122282621527745,17.172174555977602
2019-07-26,541.2535422,550.13277165,534.271584,542.9231409,12952863,538.65807513,534.704161845,526.0154798126246,504.86382246795574,21.15165734466882,17.968071113715844
2019-07-29,542.69546835,578.288277,533.9680206,576.77046,20850917,546.77839608,540.0772340249999,533.82393830299,510.190240062922,23.633698240067986,19.101196538986272
2019-07-30,576.6186783,591.56917575,569.9402835,585.5737986,15159375,557.22097704,546.77839608,541.7854552717607,515.7742073619648,26.011247909795884,20.483206813148193
2019-07-31,582.0828195,593.466447,578.66773125,581.323911,10867985,566.16091917,551.642999565,547.8682946145667,520.6297409647823,27.23855364978442,21.834276180475438
2019-08-01,577.8329319,597.79222545,577.5293685,587.31928815,13812066,574.78211973,556.879468215,553.9376782354026,525.5697074229465,28.367970812456065,23.141015106871563
2019-08-02,579.3507489,595.7431725,579.3507489,593.466447,12812336,584.89078095,561.77442804,560.0190272761099,530.5990955397652,29.419931736344665,24.396798432766182
2019-08-05,600.37251435,611.30079675,586.56037965,588.912996,17517937,587.31928815,567.0488421150001,564.4642532336314,534.9186437220048,29.545609511626594,25.426560648538263
2019-08-06,559.84680045,581.7792561,543.378486,571.1545371,20755037,584.43543585,570.8282064450001,565.4935276746112,537.6027839722267,27.890743702384498,25.91939725930751
2019-08-07,577.5293685,594.984264,567.663558,571.53399135,14000299,582.47745192,574.319185545,566.4228297785171,540.1162067409506,26.30662303756651,25.99684241495931
2019-08-08,576.69456915,583.98009075,566.67697695,574.26606195,9667565,579.86680668,577.324463205,567.6294808818221,542.6458256453246,24.983655236497498,25.794204979266947
2019-08-09,578.81951295,578.97129465,550.967571,552.0300429,14352450,571.5795258599999,578.235153405,565.2295673461572,543.3409528493746,21.888614496782566,25.01308688277007
2019-08-12,550.6640076,572.217009,536.01707355,557.41829325,22520680,565.28058531,576.2999367300001,564.0278328698253,544.3837188049765,19.644114064848736,23.939292319185803
2019-08-13,557.7977475,565.3868325,550.2086625,551.80237035,10628248,561.4101519600001,572.9227939049999,562.1469924821598,544.9332485490523,17.21374393310748,22.59418264197014
2019-08-14,557.72185665,557.72185665,545.27575725,548.5390638,13317065,556.81116645,569.6443091849999,560.0534649925968,545.2003459750484,14.853119017548352,21.04596991708578
2019-08-15,540.0392886,552.485388,534.65103825,549.07029975,13645169,551.77201401,565.8194103449999,558.3637472629665,545.4870092176375,12.876738045329034,19.41212354273443
2019-08-16,550.967571,580.18554825,546.5659017,569.9402835,17107834,555.3540621300001,563.466793995,560.1447528378948,547.2983628681828,12.846389969711936,18.09897682812993
2019-08-19,573.35537175,575.93566065,512.94625515,541.48121475,42099905,552.16664643,558.72361587,557.273439285911,546.8674630075767,10.405976278334265,16.560376718170797
2019-08-20,531.23595,543.30259515,526.30304475,534.65103825,14528106,548.73638001,555.0732659849999,553.7930698957708,545.9625426551636,7.830527240607239,14.814406822658086
2019-08-21,534.271584,538.74914415,531.23595,532.52609445,9139844,545.53378614,551.172476295,550.5212275194984,544.9672501955218,5.553977323976596,12.962320922921787
2019-08-22,530.09758725,545.6552115,523.646865,539.96339775,11861203,543.71240574,547.7422098750001,548.8969460164986,544.5965944588165,4.30035155768212,11.229927049873854
2019-08-23,542.54368665,542.54368665,527.4414075,529.8699147,9006294,535.6983319799999,545.526197055,545.969710429345,543.5057292914968,2.4639811378482364,9.476737867468731
2019-08-26,525.0129003,541.860669,524.4057735,541.02586965,12016403,535.60726296,543.886954695,545.209119540215,543.3220359847193,1.887083555495792,7.958807005074144
2019-08-27,561.59229,595.1360457,555.6728037,594.3771372,34044639,547.55248275,548.14443138,552.7734299494127,547.1038953339993,5.669534615413454,7.500952527142006
2019-08-28,598.7788065,623.9745687,586.6362705,612.5909412,23391244,563.5654521,554.54961912,561.9761239879646,551.9547876203696,10.021336367594927,8.00502929523259
2019-08-29,613.57752225,624.20224125,602.4215673,609.47941635,15457848,577.46865582,560.59053078,569.284322812893,556.2158712299719,13.06845158292117,9.017713752770307
2019-08-30,609.63119805,625.9477308,599.537715,610.162434,18840951,593.52715968,564.61274583,575.5732629955248,560.2119129166406,15.361350078884243,10.286441017993095
2019-09-02,611.30079675,622.30497,595.7431725,609.17585295,17366396,607.15715634,571.38220965,580.7428922192903,563.8388714376301,16.904020781660165,11.60995697072651
2019-09-03,614.63999415,625.340604,607.7339268,614.715885,13552954,611.2249059,579.3886943250001,585.9695064932456,567.6075391089167,18.361967384328864,12.96035905344698
2019-09-04,607.1268,619.8764628,603.6358209,608.3410536,16041435,610.37492838,586.97019024,589.4112829712078,570.6248364786267,18.78644649258115,14.125576541273814
2019-09-05,614.715885,629.7422733,603.3322575,625.26471315,17724376,613.53198774,595.50032178,594.9271953064066,574.6722347505803,20.2549605558263,15.35145334418431
2019-09-06,621.5460615,621.92551575,567.663558,576.9222417,35069733,606.88394928,600.20555448,592.1572024438825,574.8389019320188,17.318300511863754,15.744822777720199
2019-09-09,578.1364953,578.288277,542.6195775,553.8514233,37353336,595.81906335,601.4881098449999,586.264005652516,573.2842738852025,12.97973176731341,15.191804575638841
2019-09-10,553.3960782,565.2350508,548.6908455,554.003205,16496212,583.67652735,597.4507166249999,581.3008055521288,571.8560465603728,9.444758991756089,14.042395458862291
2019-09-11,544.66863045,552.485388,529.718133,529.718133,28381958,567.95194323,589.163435805,573.3650097748782,568.7347196299747,4.6302901449034835,12.15997439607053
2019-09-12,531.16005915,535.0304925,519.32108655,533.5126755,13322377,549.6015357,581.56676172,567.2338814248969,566.1256793240507,1.1082021008462561,9.949619937025675
2019-09-16,538.0661265,555.14156775,532.753767,546.41412,19355638,543.4999113599999,575.19193032,564.030841205682,564.6655638185655,-0.6347226128834791,7.832751427043844
2019-09-17,544.7445213,555.2174586,543.5302677,548.6908455,9816713,542.4677958,569.143429575,561.6708418663463,563.4822513505236,-1.8114094841772612,5.9039192447996225
2019-09-18,548.6908455,550.43633505,542.69546835,547.0212468,6947884,541.07140416,562.373965755,559.4170580099853,562.2629176801145,-2.84585967012913,4.153963461813872
2019-09-19,547.931937,569.7885018,540.41874285,569.0295933,15742683,548.93369622,558.4428197249999,560.8959095930645,562.7641529112171,-1.8682433181526221,2.9495221058205727
2019-09-20,564.627924,574.56962535,560.8333815,568.95370245,10330178,556.02190161,552.811718655,562.135570032593,563.222638062238,-1.0870680296450246,2.1422040787274534
2019-09-23,565.3868325,567.43588545,548.6908455,549.9050991,8556237,556.72009743,550.1100043949999,560.2539591198864,562.2361536946648,-1.9821945747784184,1.317324348026279
2019-09-24,548.31139125,548.31139125,523.72275585,527.36551665,20231929,552.45503166,547.46141373,555.1941987399039,559.6531435432082,-4.458944803304348,0.16207051776015358
2019-09-25,527.4414075,534.7269291,522.5843931,528.200316,11647716,548.6908455,544.8811248300001,551.0412937029956,557.3233044659336,-6.282010762937944,-1.126745738379466
2019-09-26,528.200316,533.2091121,475.3802844,475.3802844,34116431,529.9609837200001,539.4473399699999,539.4011384256116,551.2534511277163,-11.852312702104655,-3.271859131124504
2019-09-27,482.0586792,520.4594493,482.0586792,516.05778,26815423,519.3817992300001,537.70185042,535.8098525139791,548.646364377515,-12.836511863535975,-5.1847896776067985
2019-09-30,517.19614275,541.93655985,516.05778,535.0304925,16042829,516.40687791,536.56348767,535.6899509733669,547.6377812754769,-11.947830302109992,-6.537397802507437
2019-10-08,558.556656,572.8241358,542.6195775,570.31973775,25508289,524.9977221299999,538.7263768949999,541.0176104774642,549.3179261995156,-8.300315722051323,-6.889981386416214
2019-10-09,575.252643,579.806094,563.8690155,576.77046,17102660,534.7117509299999,541.701298215,546.5180488655467,551.3514472217737,-4.833398356227008,-6.478664780378373
2019-10-10,581.323911,628.90747395,577.5293685,622.38086085,30585691,564.11186622,547.03642497,558.1892507093087,556.612885268309,1.5763654409996661,-4.867658736102765
2019-10-11,616.15781115,634.9028511,612.4391595,624.5816955,19878933,585.81664932,552.599224275,568.4034729847997,561.6476119521379,6.755861032661755,-2.542954782349861
2019-10-14,624.5816955,633.6885975,607.8857085,631.03241775,21956530,605.0170343699999,560.71195614,578.038695256369,566.787227196424,11.251468059944955,0.21592978610910274
