CODES,DATES,high,open,low,close,change,pctchange,volume,turover
600036.SH,2019-05-20 14:30:00,141.961136,141.843842,141.100876,141.296402,-0.508331,-0.358473,2431301.0,80335943.0
600036.SH,2019-05-20 15:00:00,142.743195,141.296402,141.218201,142.508575,1.212173,0.857894,5347667.0,177499651.0
600036.SH,2019-05-21 09:30:00,142.547684,142.547684,142.547684,142.547684,0.010002,0.030054,55145.0,1835777.0
600036.SH,2019-05-21 10:00:00,144.385498,142.547684,142.078445,144.385498,1.837814,1.289263,8739645.0,292331735.0
600036.SH,2019-05-21 10:30:00,144.346405,144.229095,143.290634,143.955383,-0.430115,-0.297893,4210800.0,141676366.0
600036.SH,2019-05-21 11:00:00,145.245758,144.033569,143.994476,145.011139,1.055756,0.733391,8641630.0,292466661.0
600036.SH,2019-05-21 11:30:00,145.714981,145.011139,144.698318,145.128448,0.11731,0.080897,8270325.0,281180623.0
600036.SH,2019-05-21 13:30:00,145.597687,145.597687,144.033569,144.385498,-0.74295,-0.511926,6552391.0,221565803.0
600036.SH,2019-05-21 14:00:00,145.050247,144.385498,144.189987,144.893829,0.508331,0.352065,4272460.0,144531426.0
600036.SH,2019-05-21 14:30:00,145.128448,144.932938,143.838058,144.150894,-0.742935,-0.512745,4655062.0,157153141.0
600036.SH,2019-05-21 15:00:00,144.541916,144.150894,143.720764,143.877167,-0.273727,-0.18989,4946960.0,166496919.0
600036.SH,2019-05-22 09:30:00,143.877167,143.877167,143.877167,143.877167,0.0,0.0,196400.0,6604932.0
600036.SH,2019-05-22 10:00:00,144.033569,143.877167,142.625885,143.134216,-0.74295,-0.516378,7611771.0,254944110.0
600036.SH,2019-05-22 10:30:00,144.307297,143.173325,142.977814,143.525253,0.391037,0.273196,5134865.0,172592281.0
600036.SH,2019-05-22 11:00:00,144.620117,143.525253,143.290634,144.072678,0.547424,0.381413,3927914.0,132093098.0
600036.SH,2019-05-22 11:30:00,144.620117,144.072678,143.877167,143.994476,-0.078201,-0.054279,2740016.0,92460480.0
600036.SH,2019-05-22 13:30:00,144.385498,144.385498,143.681656,143.720764,-0.273712,-0.190085,3109505.0,104687417.0
600036.SH,2019-05-22 14:00:00,144.072678,143.720764,143.056015,143.407928,-0.312836,-0.217669,4134075.0,138690354.0
600036.SH,2019-05-22 14:30:00,143.642548,143.407928,142.782288,143.016907,-0.391022,-0.272664,4140187.0,138410287.0
600036.SH,2019-05-22 15:00:00,143.525253,143.095123,142.938705,143.486145,0.469238,0.3281,3513352.0,117461650.0
600036.SH,2019-05-23 09:30:00,142.625885,142.625885,142.625885,142.625885,-0.219997,-0.656121,84300.0,2808033.0
600036.SH,2019-05-23 10:00:00,143.759857,142.625885,141.218201,141.687424,-0.938461,-0.657988,9047462.0,299559200.0
600036.SH,2019-05-23 10:30:00,142.547684,141.687424,141.413712,142.273972,0.586548,0.413973,4077929.0,134992357.0
600036.SH,2019-05-23 11:00:00,143.642548,142.273972,142.156647,143.056015,0.782043,0.549674,2844090.0,95019919.0
600036.SH,2019-05-23 11:30:00,143.212418,143.056015,142.391266,143.134216,0.078201,0.054665,1366743.0,45599288.0
600036.SH,2019-05-23 13:30:00,143.447037,143.134216,142.352173,143.447037,0.31282,0.21855,3566630.0,119091518.0
600036.SH,2019-05-23 14:00:00,143.759857,143.486145,142.938705,143.134216,-0.31282,-0.218074,3541100.0,118692016.0
600036.SH,2019-05-23 14:30:00,143.368835,143.095123,142.391266,142.508575,-0.625641,-0.437101,6932815.0,231281605.0
600036.SH,2019-05-23 15:00:00,143.016907,142.508575,142.000244,142.782288,0.273712,0.192067,6924944.0,230464378.0
600036.SH,2019-05-24 09:30:00,143.681656,143.681656,143.681656,143.681656,0.230003,0.689665,381700.0,12817486.0
600036.SH,2019-05-24 10:00:00,145.832306,143.642548,143.368835,144.854736,1.17308,0.816444,15364732.0,521790960.0
600036.SH,2019-05-24 10:30:00,144.893829,144.815628,143.368835,143.447037,-1.4077,-0.971801,5266801.0,177422286.0
600036.SH,2019-05-24 11:00:00,144.033569,143.447037,142.977814,143.994476,0.54744,0.381632,3519727.0,117940824.0
600036.SH,2019-05-24 11:30:00,144.424606,143.955383,143.173325,143.368835,-0.625641,-0.434489,3354584.0,112754900.0
600036.SH,2019-05-24 13:30:00,143.564346,143.173325,143.134216,143.329742,-0.039093,-0.027267,2813364.0,94217417.0
600036.SH,2019-05-24 14:00:00,143.838058,143.173325,143.095123,143.447037,0.117294,0.081835,3933031.0,131808964.0
600036.SH,2019-05-24 14:30:00,144.698318,143.720764,143.368835,144.229095,0.782059,0.54519,4645711.0,156293383.0
600036.SH,2019-05-24 15:00:00,144.463699,144.229095,143.447037,143.759857,-0.469238,-0.325342,3711234.0,124741779.0
600036.SH,2019-05-27 09:30:00,143.290634,143.290634,143.290634,143.290634,-0.119999,-0.35714,110500.0,3699540.0
600036.SH,2019-05-27 10:00:00,143.251526,143.173325,140.631653,142.508575,-0.782059,-0.545785,9559503.0,317461713.0
600036.SH,2019-05-27 10:30:00,142.508575,142.469482,141.491913,141.804733,-0.703842,-0.493895,4678100.0,155057054.0
600036.SH,2019-05-27 11:00:00,142.195755,141.804733,141.413712,141.491913,-0.31282,-0.220599,4875430.0,161193315.0
600036.SH,2019-05-27 11:30:00,143.759857,141.491913,141.100876,142.860504,1.368591,0.967258,7524496.0,249532212.0
600036.SH,2019-05-27 13:30:00,143.603455,142.860504,142.195755,143.525253,0.664749,0.465313,5173033.0,172749803.0
600036.SH,2019-05-27 14:00:00,144.424606,143.407928,143.407928,144.229095,0.703842,0.490396,3607102.0,121272454.0
600036.SH,2019-05-27 14:30:00,144.854736,144.111786,143.603455,144.150894,-0.078201,-0.05422,4636945.0,156414132.0
600036.SH,2019-05-27 15:00:00,145.08934,144.111786,143.134216,144.463699,0.312805,0.216998,7560838.0,255240081.0
600036.SH,2019-05-28 09:30:00,144.346405,144.346405,144.346405,144.346405,-0.029999,-0.088806,150600.0,5082750.0
600036.SH,2019-05-28 10:00:00,145.558578,144.072678,143.838058,145.441269,1.094864,0.758498,7589963.0,257423354.0
600036.SH,2019-05-28 10:30:00,146.80986,145.441269,145.441269,146.49704,1.055771,0.725909,9038305.0,309416517.0
600036.SH,2019-05-28 11:00:00,147.3573,146.49704,146.106018,147.3573,0.86026,0.58722,5451078.0,187318169.0
600036.SH,2019-05-28 11:30:00,147.474609,147.3573,146.692551,147.474609,0.11731,0.079609,4313851.0,148761143.0
