unix,date,symbol,open,high,low,close,Volume EOS,Volume USDT,tradecount
1.59688E+12,2020/8/8 9:00,EOS/USDT,2.9925,3.0489,2.992,3.0467,506747.78,1534010.564,3604
1.59688E+12,2020/8/8 10:00,EOS/USDT,3.0468,3.0553,3.0376,3.0429,375082.53,1142087.983,2477
1.59688E+12,2020/8/8 11:00,EOS/USDT,3.0434,3.0655,3.0434,3.0601,430035.29,1314437.656,2758
1.59689E+12,2020/8/8 12:00,EOS/USDT,3.0603,3.0906,3.053,3.0667,547265.43,1680577.078,4270
1.59689E+12,2020/8/8 13:00,EOS/USDT,3.067,3.0765,3.048,3.0572,262108.51,801936.7919,2093
1.5969E+12,2020/8/8 14:00,EOS/USDT,3.0567,3.0623,3.0371,3.0487,335815.83,1024361.157,2342
1.5969E+12,2020/8/8 15:00,EOS/USDT,3.0481,3.0877,3.0481,3.0647,479249.46,1472195.93,3650
1.5969E+12,2020/8/8 16:00,EOS/USDT,3.0662,3.0768,2.9837,3.04,1085606.75,3280414.787,7714
1.59691E+12,2020/8/8 17:00,EOS/USDT,3.0403,3.055,3.0245,3.0482,294103.02,893977.3802,2429
1.59691E+12,2020/8/8 18:00,EOS/USDT,3.048,3.076,3.0274,3.0649,408615.79,1245609.914,3313
1.59691E+12,2020/8/8 19:00,EOS/USDT,3.0667,3.0667,3.0301,3.0308,350510.15,1065751.89,2302
1.59692E+12,2020/8/8 20:00,EOS/USDT,3.0304,3.0347,3.0119,3.026,225164.28,680651.2665,2002
1.59692E+12,2020/8/8 21:00,EOS/USDT,3.026,3.0431,3.0248,3.0413,166131.42,504271.2846,1621
1.59692E+12,2020/8/8 22:00,EOS/USDT,3.0415,3.0469,3.028,3.0418,177880.63,540671.6038,1586
1.59693E+12,2020/8/8 23:00,EOS/USDT,3.0416,3.0688,3.023,3.0649,229325.53,697720.2594,2037
1.59693E+12,2020/8/9 0:00,EOS/USDT,3.0652,3.084,3.0501,3.0681,573335.69,1758749.389,4228
1.59693E+12,2020/8/9 1:00,EOS/USDT,3.0683,3.0752,3.0484,3.0577,354284.02,1084971.273,2462
1.59694E+12,2020/8/9 2:00,EOS/USDT,3.0577,3.0651,3.0523,3.0539,285910.38,874547.0919,1609
1.59694E+12,2020/8/9 3:00,EOS/USDT,3.0539,3.0693,3.0515,3.0575,136692.63,418263.3607,1187
1.59695E+12,2020/8/9 4:00,EOS/USDT,3.0577,3.0604,3.0313,3.0444,308717.5,941111.7403,2235
1.59695E+12,2020/8/9 5:00,EOS/USDT,3.0444,3.0557,3.0338,3.0338,298268.7,908189.9322,2022
1.59695E+12,2020/8/9 6:00,EOS/USDT,3.0334,3.0547,3.0306,3.0423,232329.3,707464.608,1627
1.59696E+12,2020/8/9 7:00,EOS/USDT,3.0416,3.06,3.0358,3.0549,231488.53,705974.6829,1586
1.59696E+12,2020/8/9 8:00,EOS/USDT,3.0549,3.0597,3.0409,3.0516,252359.81,769759.5243,1439
1.59696E+12,2020/8/9 9:00,EOS/USDT,3.0516,3.0601,3,3.0236,591937.11,1794777.096,4288
1.59697E+12,2020/8/9 10:00,EOS/USDT,3.0243,3.0386,3.01,3.038,389491.59,1178900.585,2844
1.59697E+12,2020/8/9 11:00,EOS/USDT,3.038,3.0592,3.038,3.0504,293325.72,895139.5674,2369
1.59697E+12,2020/8/9 12:00,EOS/USDT,3.051,3.0511,3.0108,3.0277,354906.9,1074866.734,3181
1.59698E+12,2020/8/9 13:00,EOS/USDT,3.0276,3.0389,3.0073,3.0171,339043.12,1024275.623,2920
1.59698E+12,2020/8/9 14:00,EOS/USDT,3.0167,3.0272,2.9293,2.9794,910122.73,2713896.133,7518
1.59699E+12,2020/8/9 15:00,EOS/USDT,2.9797,3.0144,2.9719,2.9919,314860.57,942819.4011,2848
1.59699E+12,2020/8/9 16:00,EOS/USDT,2.9921,3.0187,2.9777,2.9945,403336.12,1209902.689,3173
1.59699E+12,2020/8/9 17:00,EOS/USDT,2.9948,3.0002,2.9572,2.9733,393825.33,1173047.734,2916
1.597E+12,2020/8/9 18:00,EOS/USDT,2.9733,3.0062,2.9727,3.0058,324510.85,970204.1224,2043
1.597E+12,2020/8/9 19:00,EOS/USDT,3.0054,3.0231,3.0017,3.0107,200581,604415.9382,1913
1.597E+12,2020/8/9 20:00,EOS/USDT,3.0118,3.0252,2.9992,3.012,308350.8,928191.5759,2426
1.59701E+12,2020/8/9 21:00,EOS/USDT,3.0117,3.0215,3.0053,3.0089,136632.72,411484.2366,1336
1.59701E+12,2020/8/9 22:00,EOS/USDT,3.0089,3.0297,3.0069,3.0237,299284.37,903135.7703,2092
1.59701E+12,2020/8/9 23:00,EOS/USDT,3.0238,3.0331,3.01,3.0272,318889.25,962767.4992,1988
1.59702E+12,2020/8/10 0:00,EOS/USDT,3.0277,3.0474,3.0277,3.0368,374924.25,1139074.576,2613
1.59702E+12,2020/8/10 1:00,EOS/USDT,3.037,3.0546,3.0321,3.0458,579252.85,1761823.229,3533
1.59702E+12,2020/8/10 2:00,EOS/USDT,3.0454,3.0764,3.0454,3.0726,1029546.69,3155174.274,7356
1.59703E+12,2020/8/10 3:00,EOS/USDT,3.0726,3.0763,3.056,3.0651,601350.51,1843415.037,3757
1.59703E+12,2020/8/10 4:00,EOS/USDT,3.0654,3.0769,3.0469,3.052,496702.16,1520868.563,3127
1.59704E+12,2020/8/10 5:00,EOS/USDT,3.0513,3.0623,3.0401,3.0549,484905.36,1480482.747,2707
1.59704E+12,2020/8/10 6:00,EOS/USDT,3.0551,3.0639,3.0463,3.0635,330559.96,1009723.99,1788
1.59704E+12,2020/8/10 7:00,EOS/USDT,3.0635,3.0733,3.0551,3.059,440887.79,1350736.379,2664
1.59705E+12,2020/8/10 8:00,EOS/USDT,3.0588,3.1224,3.0527,3.0948,1547128.28,4791955.797,9700
1.59705E+12,2020/8/10 9:00,EOS/USDT,3.0948,3.1023,3.0721,3.0828,835933.09,2582037.881,5122
1.59705E+12,2020/8/10 10:00,EOS/USDT,3.0831,3.0933,2.98,3.0402,1450488.55,4417180.273,10471
1.59706E+12,2020/8/10 11:00,EOS/USDT,3.0403,3.0738,3.0398,3.0678,491535.23,1503008.045,3365
1.59706E+12,2020/8/10 12:00,EOS/USDT,3.0672,3.1535,3.0578,3.1294,1737599.45,5418831.1,10686
1.59706E+12,2020/8/10 13:00,EOS/USDT,3.1294,3.1683,3.1294,3.1542,1194288.97,3759452.79,7621
1.59707E+12,2020/8/10 14:00,EOS/USDT,3.1542,3.1636,3.1354,3.1372,668402.99,2105160.722,4315
1.59707E+12,2020/8/10 15:00,EOS/USDT,3.1371,3.2268,3.137,3.2206,1803704.56,5741983.224,10433
1.59708E+12,2020/8/10 16:00,EOS/USDT,3.2206,3.2918,3.2114,3.2444,2494920.5,8114852.194,17107
1.59708E+12,2020/8/10 17:00,EOS/USDT,3.2446,3.2462,3.1895,3.2194,934783.35,3012813.849,6240
1.59708E+12,2020/8/10 18:00,EOS/USDT,3.2195,3.234,3.2119,3.2128,415855.13,1340184.055,3005
1.59709E+12,2020/8/10 19:00,EOS/USDT,3.2127,3.2275,3.1797,3.2064,594311.89,1904274.191,4022
