coin,short_period,long_period,coin_net,strategy_net,is_win
REEF,111,229,1.5591341446356133,0.6758209116594263,False
REEF,111,230,1.4781844705258271,0.6758209116594263,False
REEF,111,231,1.5351904138833414,0.7570859658281093,False
REEF,111,232,1.4766178711002187,0.7242314177136294,False
REEF,111,233,1.6674146377949812,0.7242314177136294,False
REEF,111,234,1.5911848679514633,0.7695100277572102,False
REEF,111,235,1.6386122238965048,0.7439674066075329,False
REEF,111,236,1.6511739871120656,0.7439674066075329,False
REEF,111,237,1.5802998617658528,0.7666863151691783,False
REEF,111,238,1.5850190195172242,0.7323611299337911,False
REEF,111,239,1.61662859422024,0.7378364170402285,False
REEF,112,113,2.855998975081673,1.0230003243900672,False
REEF,112,114,2.84924591002045,1.125965702378542,False
REEF,112,115,2.578807334143097,1.1628804087052904,False
REEF,112,116,2.3194776818229115,1.2455221164510057,False
REEF,112,117,2.466530205797743,1.2429701121802295,False
REEF,112,118,2.569592530689874,1.4371502430578038,False
REEF,112,119,2.8591124791586506,1.4308427587822241,False
REEF,112,120,2.4639403150041446,1.4547147642985825,False
REEF,112,121,2.5224893917963227,1.2597746287851,False
REEF,112,122,2.5160835214446955,1.1462741305154274,False
REEF,112,123,2.541759306767003,1.15064135511801,False
REEF,112,124,2.6720004794438452,1.148034815133922,False
REEF,112,125,2.748766954377312,1.1805723821742462,False
REEF,112,126,2.9293692509855456,1.2800993361133712,False
REEF,112,127,2.7063858200801265,1.2800993361133712,False
REEF,112,128,2.6416044555042064,1.3679238316562647,False
REEF,112,129,2.732761262641741,1.3871959130181974,False
REEF,112,130,2.685843373493976,1.3504004438871258,False
REEF,112,131,2.600466608340624,1.2825459147243035,False
REEF,112,132,2.402209051724138,1.2669460979123295,False
REEF,112,133,2.7062215477996965,1.3306994686210918,False
REEF,112,134,2.485367077317576,1.4421739852245465,False
REEF,112,135,2.1538647342995167,1.4546877080071787,False
REEF,112,136,2.0727568572756856,1.454724550467618,False
REEF,112,137,2.1217817541521913,1.4713227336229644,False
REEF,112,138,2.0785547785547784,1.4713227336229644,False
REEF,112,139,2.141553388731447,1.5091423827966262,False
REEF,112,140,2.2075060652572165,1.5091423827966262,False
REEF,112,141,2.0591631258082392,1.6009535909009014,False
REEF,112,142,2.102867653994906,1.6911474823545092,False
REEF,112,143,1.9014414875469123,1.6911474823545092,False
REEF,112,144,1.9470282545089306,1.8979105629337354,False
REEF,112,145,2.083411214953271,1.8352394276464639,False
REEF,112,146,1.9384782608695652,1.699220538691587,False
REEF,112,147,2.056408837230755,1.699220538691587,False
REEF,112,148,2.0947660214245443,1.5719303234272441,False
REEF,112,149,2.1900481383240002,1.557282293987798,False
REEF,112,150,2.0828272446977483,1.557282293987798,False
REEF,112,151,2.0864336187935795,1.423475638097042,False
REEF,112,152,2.0669911914696337,1.423475638097042,False
REEF,112,153,2.0871173111131918,1.427954288848509,False
REEF,112,154,2.0936839633716833,1.5009162182160578,False
REEF,112,155,2.05498709439528,1.5009162182160578,False
REEF,112,156,2.01961406051821,1.4390199011845484,False
REEF,112,157,1.9707819475754762,0.8570762271623287,False
REEF,112,158,1.978039041703638,0.8570762271623287,False
REEF,112,159,2.0342656385454214,0.8811992335559707,False
REEF,112,160,2.1035621608870017,0.8570762271623287,False
REEF,112,161,1.9990584226337265,0.9148970176044173,False
REEF,112,162,1.9320939504246837,0.9148970176044173,False
REEF,112,163,1.9868538324420675,0.9148970176044173,False
REEF,112,164,2.0365887082039102,1.0989776236274527,False
REEF,112,165,2.1500217003423834,1.0989776236274527,False
REEF,112,166,2.221142828675335,1.0989776236274527,False
REEF,112,167,2.3612435123397946,1.0833651285150776,False
REEF,112,168,2.324799249139639,1.0833651285150776,False
REEF,112,169,2.2212534874451975,1.0833651285150776,False
REEF,112,170,2.322135416666667,1.0833651285150776,False
REEF,112,171,2.2449647532729102,1.1466397445314012,False
REEF,112,172,2.112933036348988,1.1322477890837448,False
REEF,112,173,2.103066037735849,1.1329538376913386,False
REEF,112,174,2.1881134668237143,1.1329538376913386,False
REEF,112,175,2.317187256379606,1.1288757873047568,False
REEF,112,176,2.3410343922289316,1.0839553800151336,False
REEF,112,177,2.439671682626539,1.052077379407702,False
REEF,112,178,2.442344563133388,1.0443516109689934,False
REEF,112,179,2.3648756166127405,1.074944583840548,False
REEF,112,180,2.388951401168087,1.0842392594330623,False
REEF,112,181,2.400398406374502,1.070615339327426,False
REEF,112,182,2.310103626943005,1.1316176949790968,False
REEF,112,183,2.2479076333568617,1.1316176949790968,False
REEF,112,184,2.274628845467068,1.089962729149017,False
REEF,112,185,2.457150730228713,1.1000485036569343,False
REEF,112,186,2.454310249917428,1.0871887631179828,False
REEF,112,187,2.4812176526239638,1.0871887631179828,False
REEF,112,188,2.4863372741467766,1.054202761329213,False
REEF,112,189,2.5332386363636363,1.054202761329213,False
REEF,112,190,2.425206701479547,1.0787131976273763,False
REEF,112,191,2.4525551460476374,1.0732473137915657,False
REEF,112,192,2.387544179072507,1.081774311713197,False
REEF,112,193,2.475981562725607,1.059181156172457,False
REEF,112,194,2.1993389897395423,1.059181156172457,False
REEF,112,195,2.310822017207422,1.0060612837741814,False
REEF,112,196,2.16705550695052,0.9970750747049768,False
REEF,112,197,2.1457791895273846,0.99691408107666,False
REEF,112,198,2.2056495498169584,1.0339983063148548,False
REEF,112,199,2.119965764823356,1.0474045615315226,False
REEF,112,200,2.2430447250591135,1.0613972636872504,False
REEF,112,201,2.304968205552396,1.09306416635819,False
REEF,112,202,2.245756308870196,1.096220599211952,False
REEF,112,203,2.316705637828007,1.1201183012868812,False
REEF,112,204,2.334170985812261,1.0588322533038284,False
REEF,112,205,2.235509426393903,0.983175346927469,False
REEF,112,206,2.187898714299735,0.9622084271351709,False
REEF,112,207,2.04134426079392,0.9055816141101019,False
REEF,112,208,2.0469675405169645,0.9319566405576314,False
REEF,112,209,2.0492255366089074,0.962495710977363,False
REEF,112,210,1.7549694941940563,0.9571397863169042,False
REEF,112,211,1.8506911294674357,0.9241753566133332,False
REEF,112,212,1.8993354349493057,0.9305650977192929,False
REEF,112,213,1.8971533126249946,0.9338718508986414,False
REEF,112,214,1.7567674061231728,0.9514995802532151,False
REEF,112,215,1.6212727272727272,0.9397891986932655,False
REEF,112,216,1.5750521072526231,0.9692936153540993,False
REEF,112,217,1.5567931841195572,1.0156172137395103,False
REEF,112,218,1.5481977915132994,1.0156172137395103,False
REEF,112,219,1.550782608695652,1.0025626418306761,False
REEF,112,220,1.4915361969757794,0.9843474230018376,False
REEF,112,221,1.6361467889908257,1.0073622850705821,False
REEF,112,222,1.6707262234879712,1.014403911577138,False
REEF,112,223,1.6305818673883627,0.9979754864693549,False
REEF,112,224,1.6490365055294598,1.031746810994188,False
REEF,112,225,1.6095667870036101,0.9780968022395793,False
REEF,112,226,1.6049893804672593,0.9542306131155308,False
REEF,112,227,1.59969143554232,0.7850092156930658,False
REEF,112,228,1.5644957540880062,0.7340813350783421,False
REEF,112,229,1.5591341446356133,0.7340813350783421,False
REEF,112,230,1.4781844705258271,0.6613886974490957,False
REEF,112,231,1.5351904138833414,0.6613886974490957,False
REEF,112,232,1.4766178711002187,0.7010129675626346,False
REEF,112,233,1.6674146377949812,0.7242314177136294,False
REEF,112,234,1.5911848679514633,0.7353398984612438,False
REEF,112,235,1.6386122238965048,0.7695100277572102,False
REEF,112,236,1.6511739871120656,0.7672720062166485,False
REEF,112,237,1.5802998617658528,0.7418036725151829,False
REEF,112,238,1.5850190195172242,0.7473495540722742,False
REEF,112,239,1.61662859422024,0.7378364170402285,False
REEF,113,114,2.84924591002045,1.3251392314693975,False
REEF,113,115,2.578807334143097,1.2105623004034445,False
REEF,113,116,2.3194776818229115,1.4316451926434768,False
