stock_id,price,stock_pct,asset_pct_annual_return,asset_wave,macd_nums_-0.002,macd_odds_-0.002,macd_strategy_pct_-0.002,macd_nums_-0.004,macd_odds_-0.004,macd_strategy_pct_-0.004,macd_nums_-0.007,macd_odds_-0.007,macd_strategy_pct_-0.007,macd_nums_-0.01,macd_odds_-0.01,macd_strategy_pct_-0.01,macd_nums_-0.015,macd_odds_-0.015,macd_strategy_pct_-0.015,macd_nums_-0.02,macd_odds_-0.02,macd_strategy_pct_-0.02,macd_nums_-0.05,macd_odds_-0.05,macd_strategy_pct_-0.05,macd_nums_-0.1,macd_odds_-0.1,macd_strategy_pct_-0.1,macd_nums_-0.15,macd_odds_-0.15,macd_strategy_pct_-0.15,macd_nums_-0.2,macd_odds_-0.2,macd_strategy_pct_-0.2
sh.600196,796.7789346,5.55872872880223,0.23914444717439332,45.61466084137354,42,0.020477943531374818,1.8043377986228664,44,0.023673741270423723,2.1455771871766838,47,0.02176402093175467,2.0988706538433117,48,0.02163385182487221,2.131436528999919,51,0.023087340900184584,2.4364427945277587,59,0.030123774715110928,3.48189417256107,69,0.02485712335558439,3.2135666808287597,78,0.02900932432569059,4.596438723439371,78,0.02900932432569059,4.596438723439371,78,0.02900932432569059,4.596438723439371
sh.603259,333.03788,3.580282519888196,0.5514681744992871,13.830388406293523,13,0.027311599399399148,1.3487120658250216,14,0.043650550981780174,1.6940591254612045,15,0.05292689417797691,2.003725847319704,16,0.049654928305088476,2.004878871745599,17,0.042368107269987236,1.856074698279593,17,0.042368107269987236,1.856074698279593,24,0.06270908888748683,3.7394154746722386,24,0.06270908888748683,3.7394154746722386,24,0.06270908888748683,3.7394154746722386,24,0.06270908888748683,3.7394154746722386
sz.300347,2300.60769246,40.206356037399516,0.5957781320874143,105.30303595351496,40,0.02300469703082984,1.9568049944438173,41,0.026800205740721127,2.3063305868881923,44,0.027534449155426653,2.5624204763230334,51,0.02406027388460787,2.5436414104320013,55,0.02884120654487877,3.4535556389526203,59,0.034653089533693,5.121658285805726,70,0.03352061898454885,5.701571573813365,74,0.03450876684772604,6.95319118260431,76,0.03608679360115253,8.066068971657119,76,0.03608679360115253,8.066068971657119
sh.600570,1493.6798536,11.22858915870334,0.3529777324904291,53.342975795539026,36,0.060722599173316315,5.078859020254075,37,0.0581433615403678,4.902575921052011,38,0.05650368103516153,4.882159155113222,39,0.0546103022186243,4.7975118265697,44,0.06039732782568364,7.61594415914578,52,0.05671908667166663,9.991009478702129,66,0.04418155135608185,9.111986438920805,68,0.04850173712437534,12.130950788628006,71,0.038703012767090456,6.518542034318477,72,0.041611501051090405,8.135884675657028
sz.002044,66.6312404,3.4298327440434786,0.16656547128298227,3.4148480073615373,34,0.12648333293877267,6.148145368760918,35,0.1268869906751446,7.012644411879267,37,0.12883491067900163,9.251943006225419,41,0.11325543840377454,8.101923966607421,49,0.09223124405813525,7.128030934396263,55,0.07679991778134711,5.264057557709057,69,0.07322236154518358,10.570262865103805,78,0.05601494894601878,4.870651682186925,80,0.05664873893069653,5.654602617037626,80,0.05664873893069653,5.654602617037626
sh.603983,51.79480424,1.0234104769808339,0.013608501676164897,2.3459574837684403,7,0.007295812053088269,1.031174374073371,7,0.007295812053088269,1.031174374073371,7,0.007295812053088269,1.031174374073371,7,0.007295812053088269,1.031174374073371,10,-0.006368959080343517,0.916914000994321,12,0.006967271647837679,1.037163813413,19,-0.0118980698928374,0.7537040547643167,19,-0.0118980698928374,0.7537040547643167,19,-0.0118980698928374,0.7537040547643167,19,-0.0118980698928374,0.7537040547643167
sh.605009,111.110112,0.6145470796460176,-0.5533927588462642,4.2289344225304,3,-0.030791128738179057,0.909351218585414,3,-0.030791128738179057,0.909351218585414,3,-0.030791128738179057,0.909351218585414,3,-0.030791128738179057,0.909351218585414,3,-0.030791128738179057,0.909351218585414,3,-0.030791128738179057,0.909351218585414,3,-0.030791128738179057,0.909351218585414,6,-0.05873942634083016,0.6909033270341151,6,-0.05873942634083016,0.6909033270341151,6,-0.05873942634083016,0.6909033270341151
sz.002555,298.36659944,13.87200092611365,0.3892083615673989,11.402127269965819,23,0.12246956692157018,6.065459745315292,27,0.107794874283322,6.588587018010618,42,0.06435409979387399,5.145950430815388,48,0.08251565451117976,11.540077382686697,54,0.0711481789250258,10.210846418878372,57,0.06924357147986256,10.988026900073617,68,0.054514886367342905,8.416650015916424,78,0.05144150077702319,9.61872062697313,79,0.05497481136756227,12.798410320818505,79,0.05497481136756227,12.798410320818505
sz.002236,943.86911096,1.840496610529108,0.07923712848315922,29.68499687492128,33,-0.0026884078204494075,0.8494468193441033,35,-0.001451153326160916,0.8748587371668256,37,-0.0023542344306135706,0.8423018109850468,41,-0.0029503094486378174,0.8091910103067641,49,-0.0019169710553037466,0.8205253077159056,52,0.0014477204434759062,0.9575017100725051,68,0.005127250246006658,1.119234882472742,75,0.0050711984688232665,1.1265844102616787,75,0.0050711984688232665,1.1265844102616787,75,0.0050711984688232665,1.1265844102616787
sh.600183,201.15152519,8.720948218045924,0.31090271665259817,6.257623557459499,43,0.016519031685624706,1.608966464518282,45,0.021706203496135907,2.045772344117633,48,0.021713263292563064,2.176827681844302,51,0.019730219305504688,2.064401844749114,56,0.01960909023824727,2.242403913672676,68,0.016833855085972346,2.2804625436645725,82,0.015790828429412804,2.444941072660188,84,0.01581653401232123,2.5246428195140225,85,0.014453986553352746,2.2721785375626182,85,0.014453986553352746,2.2721785375626182
