stock_name,success_rate,odds
sz.000050,0.23308270676691728,0.008471788500747509
sz.300451,0.25,0.008919381725740869
sz.002756,0.29411764705882354,0.035779700712502076
sh.600879,0.2923076923076923,0.007510674901929355
sz.002171,0.291044776119403,0.008739012335677
sh.601021,0.22641509433962265,-0.006626288863158306
sh.600547,0.23134328358208955,0.006466848305553608
sz.002318,0.25,0.005892218962089771
sz.002506,0.20270270270270271,-0.007132630626735108
sz.002422,0.24193548387096775,-0.0019638658086211717
sz.000089,0.2302158273381295,0.004622348399738883
sh.600185,0.275,0.02025490829983255
sz.002727,0.25961538461538464,0.007363075340114785
sz.002812,0.3,0.03372845950556057
sz.002507,0.29133858267716534,0.011565342791566156
sz.002216,0.2956521739130435,0.009315222315107367
sh.603025,0.27906976744186046,0.02945904327690555
sh.603589,0.2808988764044944,0.002191638236371269
sh.600276,0.296875,0.0109410923131812
sz.300142,0.3090909090909091,0.01946493957585928
sz.000059,0.3333333333333333,0.014330192493849704
sh.600320,0.26865671641791045,0.003829210915188159
sh.600596,0.3008130081300813,0.011348169670136165
sz.002152,0.3177570093457944,0.016707028792006865
sz.300725,0.3333333333333333,0.023252421172973214
sz.300777,0.36,0.008769322920071342
sh.600641,0.328,0.014963505044927182
sh.603113,0.25,0.00912637285610547
sh.601155,0.4166666666666667,0.01998228447084082
sz.002675,0.2857142857142857,0.015452670219288376
sz.300413,0.2702702702702703,0.04044758856324945
sh.600674,0.3333333333333333,0.008639389528002427
sz.002891,0.4166666666666667,0.025791509726974086
sh.600208,0.2185430463576159,-0.0008577980618957186
sh.600663,0.2231404958677686,0.01396230393311836
sz.002958,0.15384615384615385,0.004969079698567904
sz.300450,0.3230769230769231,0.04039716448215653
sh.601006,0.26666666666666666,0.001782617714068648
sz.002019,0.3135593220338983,0.025017613550090464
sz.000883,0.23076923076923078,0.014744663161038566
sh.601985,0.26262626262626265,-0.002379738079504687
sh.601009,0.31666666666666665,0.008417614144287355
sz.000778,0.22962962962962963,0.0016960309512324145
sh.600837,0.22627737226277372,0.006226745871372718
sh.603733,0.24489795918367346,-0.0015184926988960866
sz.002906,0.3333333333333333,0.028402493712509136
sz.002291,0.2975206611570248,0.04192609593046328
sh.600640,0.20930232558139536,0.010834666977094292
sh.600598,0.24087591240875914,0.002015333815193607
sh.600104,0.2923076923076923,0.004428916251065939
sh.600887,0.24203821656050956,-0.001741418300614089
sz.300171,0.2672413793103448,0.03474811622095095
sz.000875,0.31896551724137934,0.020515662789395168
