,1day_pct,3day_pct,5day_pct,10day_pct,20day_pct,30day_pct
ETH/10_ma,0.0021239239415036,0.0066849658562015,0.0085409651644592,0.0215251980399504,0.0678600768543599,0.113493934542602
ETH/20_ma,-0.0010027976298135,-0.0010936655127438,-0.0009430246181885,0.008450238868382,0.0550289926822251,0.0928818337905969
ETH/30_ma,-8.225210533883614e-05,-0.0012274404262876,0.0006608424476884,0.0095401136407094,0.0515520340891347,0.0802934195387347
ETH/60_ma,0.0011890375195691,0.0008871386560566,0.0025587353338447,0.0111803186518109,0.0312278138994957,0.0450940336890219
FIL/3_ma,0.0024642157939339,0.0185080548459497,0.0184641451772549,0.0315660022587475,0.2632092787604462,0.5902154197787837
FIL/5_ma,0.0034356989481455,0.0019203717768691,-0.0057964632593498,-0.0275358545126127,0.2110298775765133,0.5246643482576482
FIL/10_ma,-0.0008541585369319,-0.0048744637791739,-0.006220968481237,0.0106921031748782,0.251122652465833,0.4871067505554001
FIL/20_ma,-0.000140237420453,-0.0037763971598063,-0.0068171696718583,0.0239956780283495,0.1826688583339799,0.4012130354970603
FIL/30_ma,-0.0018451135301884,-0.0090516768601182,-0.0221230675233991,-0.0072001082639368,0.1005977469339459,0.2649698989933591
FIL/60_ma,-0.0027977429850336,-0.0085153487330756,0.0050401785503941,0.0729575535721169,0.2308291640756845,0.3663473609301421
LTC/3_ma,0.0044508855707155,0.0115132076414786,0.0139126333179065,0.0275028184088414,0.0540169674743225,0.0809397587211823
LTC/5_ma,0.0028097429829431,0.0097599321072474,0.0123461448569852,0.029731932989759,0.0539378570585748,0.0767981807781901
LTC/10_ma,0.0010642193921931,0.004002647279572,0.0058752560329824,0.0140047957063924,0.0428201212852774,0.0694424995514412
LTC/20_ma,-0.0004443241263557,-0.0013855704360468,-0.0036715617538352,0.0003391182353053,0.0279768663026392,0.0585642560222708
LTC/30_ma,-0.0004433164065754,-0.00156350836955,-0.0012626104578343,0.0040360434773316,0.0281520489842086,0.0432454140922147
LTC/60_ma,-0.000979919272703,-0.0043015673557361,-0.0052886567145806,-0.0060139302784691,-0.0066350124031978,0.0101299595492332
XRP/3_ma,-0.0004284439213904,0.0033322332931164,0.0080512274353022,0.0115544291216783,0.0466125907395107,0.0657692905201324
XRP/5_ma,-0.0010545762898782,-0.000341310031451,0.0016515560025297,0.0105908748190702,0.0466316613611352,0.0631729783912184
XRP/10_ma,-0.0008395724357245,0.0005261880139619,0.0025227600687269,0.0124921317161398,0.0455880779255405,0.0675228254905935
XRP/20_ma,-0.0016057892013564,0.0002064653261587,0.004656408244481,0.019178262093957,0.0470742254102887,0.0750004885644311
XRP/30_ma,0.0005958171695293,0.0045135221579601,0.0108056106340967,0.0233295979348956,0.0699400989074954,0.1048775579896635
XRP/60_ma,0.0024898427038869,0.0067842574288035,0.0125567879315043,0.0313219643169486,0.088801621232955,0.1357267942761787
