币名,周期,周期线类型,币自身回报,策略回报,策略是否跑赢大盘
EOS,240,EMA,1.176551212,0.562156761,FALSE
XRP,240,SMA,1.77445521,0.551333145,FALSE
XRP,360,EMA,1.342955979,0.48598266,FALSE
EOS,50,SMA,0.83921952,0.446519008,FALSE
LTC,3,SMA,2.202208088,0.436732924,FALSE
XRP,90,EMA,0.946272551,0.411235348,FALSE
EOS,360,EMA,0.690612272,0.402985061,FALSE
EOS,360,SMA,0.690612272,0.370441256,FALSE
EOS,240,SMA,1.176551212,0.339570899,FALSE
XRP,90,SMA,0.946272551,0.260680361,FALSE
