coin,time_period,coin_yield,strategy_yield,drawdown,is_win
"BNB,KSM,ADA",10,"42.908,10.041,7.418",14.396,76.849,False
"BTC,CAKE,FIL",10,"8.396,1.273,2.601",0.92,61.088,False
"BTC,CAKE,UNI",10,"8.396,1.273,10.2",0.92,61.088,False
"BTC,CAKE,XRP",10,"8.396,1.273,3.466",3.382,76.743,False
"BTC,CAKE,ETH",10,"8.396,1.273,4.725",0.92,61.088,False
"BTC,CAKE,EOS",10,"8.396,1.273,0.807",0.92,61.088,False
"BTC,CAKE,KSM",10,"8.396,1.273,10.041",0.92,61.088,False
"BTC,CAKE,ADA",10,"8.396,1.273,7.418",0.92,61.088,False
"BTC,FIL,UNI",10,"8.396,2.601,10.2",0.963,94.54,False
"BTC,FIL,XRP",10,"8.396,2.601,3.466",3.382,76.743,False
"BTC,FIL,ETH",10,"8.396,2.601,4.725",4.618,82.524,False
"BTC,FIL,EOS",10,"8.396,2.601,0.807",0.789,79.887,False
"BTC,FIL,KSM",10,"8.396,2.601,10.041",25.312,47.628,False
"BTC,FIL,ADA",10,"8.396,2.601,7.418",7.472,87.197,False
"BTC,UNI,XRP",10,"8.396,10.2,3.466",3.382,76.743,False
"BTC,UNI,ETH",10,"8.396,10.2,4.725",0.963,94.54,False
"BTC,UNI,EOS",10,"8.396,10.2,0.807",0.789,79.887,False
"BTC,UNI,KSM",10,"8.396,10.2,10.041",0.963,94.54,False
"BTC,UNI,ADA",10,"8.396,10.2,7.418",0.963,94.54,False
"BTC,XRP,ETH",10,"8.396,3.466,4.725",3.382,76.743,False
"BTC,XRP,EOS",10,"8.396,3.466,0.807",3.382,76.743,False
"BTC,XRP,KSM",10,"8.396,3.466,10.041",3.382,76.743,False
"BTC,XRP,ADA",10,"8.396,3.466,7.418",3.382,76.743,False
"BTC,ETH,EOS",10,"8.396,4.725,0.807",0.789,79.887,False
"BTC,ETH,KSM",10,"8.396,4.725,10.041",4.618,82.524,False
"BTC,ETH,ADA",10,"8.396,4.725,7.418",7.472,87.197,False
"BTC,EOS,KSM",10,"8.396,0.807,10.041",0.789,79.887,False
"BTC,EOS,ADA",10,"8.396,0.807,7.418",0.789,79.887,False
"BTC,KSM,ADA",10,"8.396,10.041,7.418",7.472,87.197,False
"CAKE,FIL,UNI",10,"1.273,2.601,10.2",9.261,29.203,False
"CAKE,FIL,XRP",10,"1.273,2.601,3.466",3.382,76.743,False
"CAKE,FIL,ETH",10,"1.273,2.601,4.725",2.126,27.408,False
"CAKE,FIL,EOS",10,"1.273,2.601,0.807",4.094,25.769,False
"CAKE,FIL,KSM",10,"1.273,2.601,10.041",4.094,25.769,False
"CAKE,FIL,ADA",10,"1.273,2.601,7.418",15.193,48.584,False
"CAKE,UNI,XRP",10,"1.273,10.2,3.466",3.382,76.743,False
"CAKE,UNI,ETH",10,"1.273,10.2,4.725",9.261,29.203,False
"CAKE,UNI,EOS",10,"1.273,10.2,0.807",9.261,29.203,False
"CAKE,UNI,KSM",10,"1.273,10.2,10.041",9.261,29.203,False
"CAKE,UNI,ADA",10,"1.273,10.2,7.418",15.193,48.584,False
"CAKE,XRP,ETH",10,"1.273,3.466,4.725",3.382,76.743,False
"CAKE,XRP,EOS",10,"1.273,3.466,0.807",3.382,76.743,False
"CAKE,XRP,KSM",10,"1.273,3.466,10.041",3.382,76.743,False
"CAKE,XRP,ADA",10,"1.273,3.466,7.418",3.382,76.743,False
"CAKE,ETH,EOS",10,"1.273,4.725,0.807",2.126,27.408,False
"CAKE,ETH,KSM",10,"1.273,4.725,10.041",2.126,27.408,False
"CAKE,ETH,ADA",10,"1.273,4.725,7.418",15.193,48.584,False
"CAKE,EOS,KSM",10,"1.273,0.807,10.041",1.223,37.363,False
"CAKE,EOS,ADA",10,"1.273,0.807,7.418",15.193,48.584,False
"CAKE,KSM,ADA",10,"1.273,10.041,7.418",15.193,48.584,False
"FIL,UNI,XRP",10,"2.601,10.2,3.466",3.382,76.743,False
"FIL,UNI,ETH",10,"2.601,10.2,4.725",0.963,94.54,False
"FIL,UNI,EOS",10,"2.601,10.2,0.807",0.789,79.887,False
"FIL,UNI,KSM",10,"2.601,10.2,10.041",0.963,94.54,False
"FIL,UNI,ADA",10,"2.601,10.2,7.418",0.963,94.54,False
"FIL,XRP,ETH",10,"2.601,3.466,4.725",3.382,76.743,False
"FIL,XRP,EOS",10,"2.601,3.466,0.807",3.382,76.743,False
"FIL,XRP,KSM",10,"2.601,3.466,10.041",3.382,76.743,False
"FIL,XRP,ADA",10,"2.601,3.466,7.418",3.382,76.743,False
"FIL,ETH,EOS",10,"2.601,4.725,0.807",0.789,79.887,False
"FIL,ETH,KSM",10,"2.601,4.725,10.041",4.618,82.524,False
"FIL,ETH,ADA",10,"2.601,4.725,7.418",7.472,87.197,False
"FIL,EOS,KSM",10,"2.601,0.807,10.041",0.789,79.887,False
"FIL,EOS,ADA",10,"2.601,0.807,7.418",0.789,79.887,False
"FIL,KSM,ADA",10,"2.601,10.041,7.418",7.472,87.197,False
"UNI,XRP,ETH",10,"10.2,3.466,4.725",3.382,76.743,False
"UNI,XRP,EOS",10,"10.2,3.466,0.807",3.382,76.743,False
"UNI,XRP,KSM",10,"10.2,3.466,10.041",3.382,76.743,False
"UNI,XRP,ADA",10,"10.2,3.466,7.418",3.382,76.743,False
"UNI,ETH,EOS",10,"10.2,4.725,0.807",0.789,79.887,False
"UNI,ETH,KSM",10,"10.2,4.725,10.041",9.186,68.231,False
"UNI,ETH,ADA",10,"10.2,4.725,7.418",9.186,68.231,False
"UNI,EOS,KSM",10,"10.2,0.807,10.041",0.789,79.887,False
"UNI,EOS,ADA",10,"10.2,0.807,7.418",0.789,79.887,False
"UNI,KSM,ADA",10,"10.2,10.041,7.418",16.198,76.269,False
"XRP,ETH,EOS",10,"3.466,4.725,0.807",0.976,0.0,False
"XRP,ETH,KSM",10,"3.466,4.725,10.041",4.737,81.639,False
"XRP,ETH,ADA",10,"3.466,4.725,7.418",0.976,0.0,False
"XRP,EOS,KSM",10,"3.466,0.807,10.041",1.109,79.385,False
"XRP,EOS,ADA",10,"3.466,0.807,7.418",0.976,0.0,False
"XRP,KSM,ADA",10,"3.466,10.041,7.418",12.359,78.232,False
"ETH,EOS,KSM",10,"4.725,0.807,10.041",0.789,79.887,False
"ETH,EOS,ADA",10,"4.725,0.807,7.418",0.789,79.887,False
"ETH,KSM,ADA",10,"4.725,10.041,7.418",7.472,87.197,False
"EOS,KSM,ADA",10,"0.807,10.041,7.418",18.172,76.476,False
"LTC,DOT,BNB,BTC",10,"3.109,13.233,42.908,8.396",43.233,76.067,False
"LTC,DOT,BNB,CAKE",10,"3.109,13.233,42.908,1.273",43.233,76.067,False
"LTC,DOT,BNB,FIL",10,"3.109,13.233,42.908,2.601",43.233,76.067,False
"LTC,DOT,BNB,UNI",10,"3.109,13.233,42.908,10.2",43.233,76.067,False
"LTC,DOT,BNB,XRP",10,"3.109,13.233,42.908,3.466",3.382,76.743,False
"LTC,DOT,BNB,ETH",10,"3.109,13.233,42.908,4.725",43.233,76.067,False
"LTC,DOT,BNB,EOS",10,"3.109,13.233,42.908,0.807",43.233,76.067,False
"LTC,DOT,BNB,KSM",10,"3.109,13.233,42.908,10.041",43.233,76.067,False
"LTC,DOT,BNB,ADA",10,"3.109,13.233,42.908,7.418",43.233,76.067,False
"LTC,DOT,BTC,CAKE",10,"3.109,13.233,8.396,1.273",0.92,61.088,False
"LTC,DOT,BTC,FIL",10,"3.109,13.233,8.396,2.601",7.62,63.341,False
"LTC,DOT,BTC,UNI",10,"3.109,13.233,8.396,10.2",0.961,94.742,False
"LTC,DOT,BTC,XRP",10,"3.109,13.233,8.396,3.466",3.382,76.743,False
"LTC,DOT,BTC,ETH",10,"3.109,13.233,8.396,4.725",7.62,63.341,False
"LTC,DOT,BTC,EOS",10,"3.109,13.233,8.396,0.807",7.62,63.341,False
"LTC,DOT,BTC,KSM",10,"3.109,13.233,8.396,10.041",7.62,63.341,False
"LTC,DOT,BTC,ADA",10,"3.109,13.233,8.396,7.418",7.62,63.341,False
"LTC,DOT,CAKE,FIL",10,"3.109,13.233,1.273,2.601",0.92,61.088,False
"LTC,DOT,CAKE,UNI",10,"3.109,13.233,1.273,10.2",0.92,61.088,False
"LTC,DOT,CAKE,XRP",10,"3.109,13.233,1.273,3.466",3.382,76.743,False
"LTC,DOT,CAKE,ETH",10,"3.109,13.233,1.273,4.725",0.92,61.088,False
"LTC,DOT,CAKE,EOS",10,"3.109,13.233,1.273,0.807",0.92,61.088,False
"LTC,DOT,CAKE,KSM",10,"3.109,13.233,1.273,10.041",0.92,61.088,False
"LTC,DOT,CAKE,ADA",10,"3.109,13.233,1.273,7.418",0.92,61.088,False
"LTC,DOT,FIL,UNI",10,"3.109,13.233,2.601,10.2",0.961,94.742,False
"LTC,DOT,FIL,XRP",10,"3.109,13.233,2.601,3.466",3.382,76.743,False
"LTC,DOT,FIL,ETH",10,"3.109,13.233,2.601,4.725",4.844,81.639,False
"LTC,DOT,FIL,EOS",10,"3.109,13.233,2.601,0.807",1.329,79.385,False
"LTC,DOT,FIL,KSM",10,"3.109,13.233,2.601,10.041",16.771,48.312,False
"LTC,DOT,FIL,ADA",10,"3.109,13.233,2.601,7.418",14.95,76.273,False
"LTC,DOT,UNI,XRP",10,"3.109,13.233,10.2,3.466",3.382,76.743,False
"LTC,DOT,UNI,ETH",10,"3.109,13.233,10.2,4.725",0.961,94.742,False
"LTC,DOT,UNI,EOS",10,"3.109,13.233,10.2,0.807",0.961,94.742,False
"LTC,DOT,UNI,KSM",10,"3.109,13.233,10.2,10.041",0.961,94.742,False
"LTC,DOT,UNI,ADA",10,"3.109,13.233,10.2,7.418",0.961,94.742,False
"LTC,DOT,XRP,ETH",10,"3.109,13.233,3.466,4.725",3.382,76.743,False
"LTC,DOT,XRP,EOS",10,"3.109,13.233,3.466,0.807",3.382,76.743,False
"LTC,DOT,XRP,KSM",10,"3.109,13.233,3.466,10.041",3.382,76.743,False
"LTC,DOT,XRP,ADA",10,"3.109,13.233,3.466,7.418",3.382,76.743,False
"LTC,DOT,ETH,EOS",10,"3.109,13.233,4.725,0.807",4.844,81.639,False
"LTC,DOT,ETH,KSM",10,"3.109,13.233,4.725,10.041",4.844,81.639,False
