,1day_pct,3day_pct,5day_pct,10day_pct,20day_pct,30day_pct
ETH/3_ma,0.003498588852864384,0.010606007198882944,0.021075584382530783,0.04294725059791408,0.08420351357929882,0.11323635095544125
ETH/5_ma,0.004127877610431953,0.013245132074576027,0.02102183058499877,0.04193405016115003,0.0791717304519399,0.11355876542616852
ETH/10_ma,0.003969002838106823,0.011081598482335284,0.02120020400933601,0.04413197758073743,0.08291283922424537,0.1170886885072802
ETH/20_ma,0.00636243261454894,0.017039348172793466,0.02833606128787392,0.05387929285250576,0.09260347594779447,0.13301707703284732
ETH/30_ma,0.005527950456801413,0.016757492716687666,0.026536888578978648,0.05212070290839109,0.0943826050691775,0.14147171184163732
ETH/60_ma,0.00451292053126747,0.014875428624160037,0.024629757262030712,0.05001987464276565,0.10764308215752476,0.1647284845767258
FIL/3_ma,0.009708354172494656,0.017677303325491767,0.0488730483984901,0.13253739508809054,0.21830530467250875,0.4741842517418141
FIL/5_ma,0.009191257195723414,0.03703738193323262,0.07989909570033299,0.21042568954848484,0.2755808339947212,0.5410271211205467
FIL/10_ma,0.014659774037512582,0.04646385556588473,0.08294394212030197,0.17020178723043994,0.2279530225555089,0.5879030586604678
FIL/20_ma,0.0141996323576899,0.04658874813292276,0.08642277732630972,0.15770045284729742,0.3164482806694289,0.7028796058002762
FIL/30_ma,0.014898949998106262,0.0482530745810974,0.0956593349115077,0.18122037304825894,0.3964901192526236,0.8291219877235652
FIL/60_ma,0.027892535450732017,0.08340329282276643,0.1039383506435013,0.104373691194797,0.26512633228933297,0.9392922739797748
LTC/3_ma,0.000526083031906396,0.002628127225915937,0.01023184068542809,0.02284072944094437,0.05608932684496983,0.0875605362614632
LTC/5_ma,0.0022472843506230306,0.004667449170308442,0.011871948037645349,0.02092992606490042,0.05607564891070338,0.09119793685535192
LTC/10_ma,0.003863673719719347,0.010039787497978816,0.0178437277781628,0.03554083542013322,0.06629848389344217,0.09779716504021754
LTC/20_ma,0.00518322690832232,0.014802493735731571,0.02626636868576144,0.047542274486291766,0.07933301039733398,0.1072104878905087
LTC/30_ma,0.005078782701656883,0.014658111793793609,0.023636473346561555,0.0434831111766926,0.07823662514482986,0.11953509976713353
LTC/60_ma,0.005762473274797701,0.01774228887320798,0.028206861510039774,0.054123791067243465,0.11214378393183604,0.1527807743139085
XRP/3_ma,0.00439701242920035,0.008600634246112859,0.012108741806765556,0.0341807386122527,0.04739274333446936,0.053455548816896126
XRP/5_ma,0.00535920659627425,0.013010473650216431,0.0195165843735255,0.036476398966892164,0.04741314303158134,0.055712440161796224
XRP/10_ma,0.005035472040195885,0.01187704888767253,0.01831685263620166,0.03403890143150813,0.04854430814726039,0.05105551144932253
XRP/20_ma,0.0061595277927152725,0.012685920812203677,0.01641458671402646,0.02701067271924047,0.04691212466528278,0.04164623398634298
XRP/30_ma,0.0035461822206855594,0.007599014060753875,0.009209282978776734,0.02214735940274124,0.02053411553134228,0.007493532186813305
XRP/60_ma,0.0013365749619529126,0.004940110673111308,0.007072321467401205,0.012526957860060674,-0.0031828662226161923,-0.03165749840889607
