币名,短均线周期,长均线周期,币自身回报,策略回报,策略是否跑赢大盘
LTC,10,120,3.7329129373474372,3.4494607873890732,False
LTC,20,120,3.7329129373474372,3.6230467244517746,False
LTC,30,120,3.7329129373474372,3.529963443971991,False
LTC,50,120,3.7329129373474372,1.7785515131287455,False
LTC,60,120,3.7329129373474372,2.1400483892354645,False
LTC,90,120,3.7329129373474372,3.0051441890489206,False
LTC,3,180,5.774386406544997,3.606151104750869,False
LTC,5,180,5.774386406544997,3.430079317993519,False
LTC,10,180,5.774386406544997,2.0100822015722257,False
LTC,20,180,5.774386406544997,2.210862120076178,False
LTC,30,180,5.774386406544997,2.01766772347581,False
LTC,50,180,5.774386406544997,1.8030361530709298,False
LTC,60,180,5.774386406544997,1.913935347617277,False
LTC,90,180,5.774386406544997,3.3999029124165143,False
LTC,120,180,5.774386406544997,2.2461295178671277,False
LTC,3,240,4.098950189859281,3.0644777519675226,False
LTC,5,240,4.098950189859281,2.953585680882033,False
LTC,10,240,4.098950189859281,3.37915031746131,False
LTC,20,240,4.098950189859281,2.1534837278095282,False
LTC,30,240,4.098950189859281,1.5483823373668522,False
LTC,50,240,4.098950189859281,2.0136492683783094,False
LTC,60,240,4.098950189859281,2.416977345917821,False
LTC,90,240,4.098950189859281,2.235709663104238,False
LTC,120,240,4.098950189859281,2.432204685498318,False
LTC,180,240,4.098950189859281,2.4129699277679655,False
LTC,3,360,1.3877041742286749,0.8371667116853839,False
LTC,5,360,1.3877041742286749,0.963201910577386,False
LTC,10,360,1.3877041742286749,0.9707701409203052,False
LTC,20,360,1.3877041742286749,0.9797074441599546,False
LTC,30,360,1.3877041742286749,1.2274884124571757,False
LTC,50,360,1.3877041742286749,1.0746275096460278,False
LTC,60,360,1.3877041742286749,1.2635042921479667,False
LTC,90,360,1.3877041742286749,1.8873266212872315,True
LTC,120,360,1.3877041742286749,1.5692875254877132,True
LTC,180,360,1.3877041742286749,1.0301812729917144,False
LTC,240,360,1.3877041742286749,1.3131738444972492,False
XRP,3,5,1.1570607001930988,1.9206025460168212,True
XRP,3,10,1.227772828507795,2.812421760416519,True
XRP,5,10,1.227772828507795,2.156081175000746,True
XRP,3,20,1.2124617854707809,2.311933330558071,True
