time_stamp,open,high,low,close,vol
2019-07-22,4.3291,4.4156,3.9467,4.1257,4684268.8
2019-07-23,4.1242,4.2775,3.9505,4.1526,5129859.62
2019-07-24,4.15,4.6469,3.9912,4.5874,9920069.86
2019-07-25,4.5827,4.7081,4.4313,4.5663,6397651.96
2019-07-26,4.5664,4.7055,4.4133,4.6156,4483882.36
2019-07-27,4.6101,4.7572,4.166,4.2748,7565969.92
2019-07-28,4.2752,4.3493,3.8877,4.2807,4693129.83
2019-07-29,4.2773,4.3963,4.1,4.2103,4833909.63
2019-07-30,4.2108,4.3,4.1225,4.1959,3029179.81
2019-07-31,4.1959,4.4407,4.1862,4.417,2632887.92
2019-08-01,4.4196,4.4472,4.1937,4.2991,3026872.22
2019-08-02,4.2993,4.3456,4.0347,4.1801,3965253.06
2019-08-03,4.1818,4.3715,4.1682,4.2923,2687301.01
2019-08-04,4.2922,4.3109,4.1634,4.214,1959217.45
2019-08-05,4.2161,4.5771,4.2142,4.4604,4535570.48
2019-08-06,4.4611,4.5,4.051,4.1903,5237365.75
2019-08-07,4.1904,4.3,4.132,4.2224,3164784.11
2019-08-08,4.2235,4.2351,4.0801,4.17,2304702.96
2019-08-09,4.1689,4.1789,3.7858,3.9053,4202931.27
2019-08-10,3.9072,4.14,3.8599,4.0644,4280759.33
2019-08-11,4.0635,4.2617,4.0605,4.2028,3259239.13
2019-08-12,4.2025,4.2093,4.0655,4.13,1457267.02
2019-08-13,4.13,4.1421,3.96,4.0819,4007334.88
2019-08-14,4.0843,4.1308,3.5714,3.6716,6904682.73
2019-08-15,3.6718,3.7296,3.5035,3.6226,3495641.99
2019-08-16,3.6212,3.6687,3.4673,3.58,3817287.3
2019-08-17,3.5801,3.6125,3.485,3.5627,1547028.72
2019-08-18,3.563,3.7641,3.5103,3.6925,2263105.26
2019-08-19,3.6901,3.8152,3.6342,3.7179,2509738.32
2019-08-20,3.7198,3.7247,3.59,3.675,1546465.45
2019-08-21,3.6755,3.6832,3.3474,3.512,3645880.14
2019-08-22,3.5122,3.7115,3.4513,3.6349,3370938.04
2019-08-23,3.6356,3.7884,3.5976,3.6706,2905491.64
2019-08-24,3.6706,3.6831,3.5398,3.6617,1921306.47
