date,open,high,low,close,volume,amount,turn,pctChg
2011-03-04,11.7955032000,12.2749952000,11.7571438400,12.1790968000,19646645,247693465.1300,1.288287,3.252000
2011-03-07,12.2749952000,12.6298192800,12.2749952000,12.3517139200,30744419,398255002.9000,2.016000,1.417300
2011-03-08,12.3613037600,12.4188428000,12.1023780800,12.2270460000,15874129,202706087.5500,1.040912,-1.009300
2011-03-09,12.3229444000,12.6202294400,12.2941748800,12.4284326400,33727408,439068849.5600,2.211603,1.647100
2011-03-10,12.3708936000,12.4284326400,12.1503272800,12.1886866400,16019680,204589646.8500,1.050456,-1.929000
2011-03-11,12.1599171200,12.2941748800,11.8914016000,11.9105812800,15275014,192078215.7400,1.001626,-2.281700
2011-03-14,11.7955032000,11.9681203200,11.7571438400,11.9297609600,11771708,145736303.0800,0.771905,0.161000
2011-03-15,11.8818117600,11.8818117600,11.3447807200,11.5557572000,20950700,252130112.2400,1.373797,-3.135000
2011-03-16,11.5845267200,11.6804251200,11.4598588000,11.6420657600,15472825,186701131.3500,1.014597,0.746900
2011-03-17,11.5365775200,11.5749368800,11.1913432800,11.2392924800,14670218,174317897.2500,0.961968,-3.459600
2011-03-18,11.3543705600,11.4790384800,11.2488823200,11.3351908800,9390622,111092656.4800,0.615770,0.853200
2011-03-21,11.3639604000,11.7763235200,11.3639604000,11.5749368800,15752820,190416929.9000,1.032957,2.115100
2011-03-22,11.5653470400,11.6420657600,11.3351908800,11.4694486400,8187375,97727151.3400,0.536870,-0.911400
2011-03-23,11.4694486400,11.7187844800,11.4119096000,11.6516556000,12283589,148220225.4200,0.805470,1.588600
2011-03-24,11.6804251200,11.8338625600,11.6037064000,11.7955032000,16832900,205676919.1400,1.103781,1.234600
2011-03-25,11.7859133600,11.8242727200,11.6420657600,11.7475540000,15346204,187946335.8800,1.006295,-0.406500
2011-03-28,11.7955032000,11.8722219200,11.5941165600,11.6228860800,16056165,195738639.3000,1.052849,-1.061200
2011-03-29,11.6228860800,11.6324759200,11.3256010400,11.3447807200,17010861,203065829.7500,1.115451,-2.392700
2011-03-30,11.3447807200,11.4502689600,11.2009331200,11.2201128000,10985156,129235795.5000,0.720328,-1.098900
2011-04-01,11.2009331200,11.2009331200,10.7981598400,11.1050347200,16474319,188192828.5000,1.080268,-1.025600
2011-04-06,11.0283160000,11.4790384800,10.9803668000,11.3064213600,18339816,215792336.5100,1.202594,1.813500
2011-04-07,11.2680620000,11.2968315200,11.0666753600,11.2776518400,11401041,132738112.3300,0.747599,-0.254500
2011-04-08,11.2680620000,11.2968315200,11.1817534400,11.2584721600,10151143,118867614.3700,0.665639,-0.170100
2011-04-11,11.2872416800,11.3543705600,11.0570855200,11.0762652000,11266701,131169341.5300,0.738790,-1.618400
2011-04-12,11.0283160000,11.1817534400,10.9803668000,11.0379058400,9060102,104661341.9300,0.594097,-0.346300
2011-04-13,11.0379058400,11.1242144000,10.9228277600,11.1050347200,9515914,109448620.8300,0.623986,0.608200
2011-04-15,10.8365192000,10.9132379200,10.7406208000,10.7981598400,16610906,186906206.8400,1.089225,-2.763400
2011-04-18,10.7885700000,10.9803668000,10.6159528800,10.9132379200,15817995,177747216.9900,1.037231,1.065700
2011-04-19,10.8173395200,10.8269293600,10.6543122400,10.6926716000,9783765,109439002.8100,0.641549,-2.021100
2011-04-20,10.7022614400,10.8173395200,10.7022614400,10.7406208000,9095898,101957407.3200,0.596444,0.448400
2011-04-21,10.7693903200,10.8077496800,10.6734919200,10.7598004800,9686112,108584310.7600,0.635146,0.178600
2011-04-22,10.7598004800,10.8844684000,10.6734919200,10.7885700000,10390089,116896314.1500,0.681308,0.267400
2011-04-25,10.7885700000,10.9803668000,10.7406208000,10.8365192000,15281156,173684982.8600,1.002029,0.444400
2011-04-26,10.7885700000,10.9228277600,10.5200544800,10.5680036800,10964434,122454598.6300,0.718969,-2.477900
2011-04-27,10.6639020800,10.6639020800,10.1844100800,10.2707186400,13129877,142181974.0900,0.860964,-2.813100
2011-04-28,10.2994881600,10.4049764000,10.0885116800,10.1172812000,7455417,79770731.0200,0.488873,-1.493900
2011-04-29,10.1172812000,10.1460507200,9.9542539200,10.1268710400,9607492,100633344.2100,0.629989,0.094800
2011-05-03,10.1556405600,10.2323592800,9.9638437600,10.2227694400,8450067,88827350.8100,0.554094,0.947000
2011-05-04,10.0981015200,10.3378475200,10.0213828000,10.1076913600,9776660,103663675.1200,0.641082,-1.125700
2011-05-05,10.1076913600,10.3570272000,10.0789218400,10.2131796000,10153700,108237201.0900,0.433981,1.043600
2011-05-06,10.1844100800,10.4241560800,10.1364608800,10.4145662400,10729654,115501465.9300,0.458598,1.971800
2011-05-09,10.3090780000,10.3090780000,9.9638437600,10.0501523200,17533746,185732702.7200,0.749413,-3.499100
